frame_no,ts,src_ip,dst_ip,src_mac,dst_mac,protocol,transport,src_port,dst_port,length,tcp_syn,tcp_ack,tcp_fin,tcp_rst,dns_qry_name,dns_qry_type,dns_response,dns_rcode,http_method,http_host,http_uri,arp_src_ip,arp_src_mac,arp_opcode,info
1,1700000000.7398374,10.0.0.109,10.0.0.1,02:f8:72:e4:ad:c7,00:11:22:33:44:01,DNS,UDP,57171,53,70,,,,,google.com,1,0,,,,,,,,Standard query A google.com
2,1700000000.7598374,10.0.0.1,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,DNS,UDP,53,57171,103,,,,,google.com,1,1,0,,,,,,,Standard query response A google.com
3,1700000000.7898374,10.0.0.109,93.184.130.70,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TCP,TCP,57171,443,74,1,0,0,0,,,,,,,,,,,SYN
4,1700000000.8198373,93.184.130.70,10.0.0.109,00:11:22:33:44:01,02:f8:72:e4:ad:c7,TCP,TCP,443,57171,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
5,1700000001.4867585,10.0.0.103,10.0.0.1,02:c9:83:20:d6:73,00:11:22:33:44:01,DNS,UDP,57824,53,82,,,,,microsoft.com,1,0,,,,,,,,Standard query A microsoft.com
6,1700000001.5067585,10.0.0.1,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,DNS,UDP,53,57824,104,,,,,microsoft.com,1,1,0,,,,,,,Standard query response A microsoft.com
7,1700000001.5367584,10.0.0.103,93.184.244.218,02:c9:83:20:d6:73,00:11:22:33:44:01,TCP,TCP,57824,443,74,1,0,0,0,,,,,,,,,,,SYN
8,1700000001.5667584,93.184.244.218,10.0.0.103,00:11:22:33:44:01,02:c9:83:20:d6:73,TCP,TCP,443,57824,74,1,1,0,0,,,,,,,,,,,"SYN, ACK"
9,1700000001.8073087,10.0.0.109,93.184.130.70,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,57171,443,916,0,1,0,0,,,,,,,,,,,Application Data
10,1700000001.8320446,10.0.0.109,93.184.130.70,02:f8:72:e4:ad:c7,00:11:22:33:44:01,TLS,TCP,57171,443,496,0,1,0,0,,,,,,,,,,,Application Data
